INF [20100405-20:04:34.943] w3c: 19 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b8,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.947] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_8,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.952] w3c: 3 - - - - - - - RowzShards:add_child_shard 27,25,1
INF [20100405-20:04:34.968] w3c: 15 - - - - - - - RowzShards:add_child_shard 27,26,1
INF [20100405-20:04:34.971] w3c: 2 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:-3689348814741910328,_shard_id:27)
INF [20100405-20:04:34.977] w3c: 4 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a9,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.994] w3c: 16 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b9,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:35.000] w3c: 4 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_9,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:35.003] w3c: 1 - - - - - - - RowzShards:add_child_shard 30,28,1
INF [20100405-20:04:35.026] w3c: 21 - - - - - - - RowzShards:add_child_shard 30,29,1
INF [20100405-20:04:35.030] w3c: 2 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:-1844674407370955167,_shard_id:30)
INF [20100405-20:04:55.028] w3c: 48 - - - - - - - RowzShards:rebuild_schema 
INF [20100405-20:04:55.035] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.040] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.046] w3c: 4 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.054] w3c: 5 - - - - - - - RowzShards:add_child_shard 3,1,1
INF [20100405-20:04:55.059] w3c: 1 - - - - - - - RowzShards:add_child_shard 3,2,1
INF [20100405-20:04:55.061] w3c: 1 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:0,_shard_id:3)
INF [20100405-20:04:55.067] w3c: 5 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a1,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.071] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b1,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.081] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_1,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.083] w3c: 1 - - - - - - - RowzShards:add_child_shard 6,4,1
INF [20100405-20:04:55.085] w3c: 1 - - - - - - - RowzShards:add_child_shard 6,5,1
INF [20100405-20:04:55.092] w3c: 6 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:1844674407370955161,_shard_id:6)
INF [20100405-20:04:55.096] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a2,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.100] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b2,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.104] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_2,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.109] w3c: 3 - - - - - - - RowzShards:add_child_shard 9,7,1
INF [20100405-20:04:55.111] w3c: 1 - - - - - - - RowzShards:add_child_shard 9,8,1
INF [20100405-20:04:55.123] w3c: 11 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:3689348814741910322,_shard_id:9)
INF [20100405-20:04:55.135] w3c: 10 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a3,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.142] w3c: 6 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b3,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.147] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_3,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.149] w3c: 1 - - - - - - - RowzShards:add_child_shard 12,10,1
INF [20100405-20:04:55.151] w3c: 1 - - - - - - - RowzShards:add_child_shard 12,11,1
INF [20100405-20:04:55.159] w3c: 6 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:5534023222112865483,_shard_id:12)
INF [20100405-20:04:55.163] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a4,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.170] w3c: 5 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b4,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
